,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
AAL,7,6.2,11.6986184060213,-6.44541266034704,14.809268042525,-10.7657253054921,1.81503016525111,0.428571428571429
AAPL,4,118.98,32.2948598114897,-0.776319357483846,56.107228079902,-0.776319357483846,41.5999672044268,0.75
AMD,6,402.28,51.6316691715528,-16.7630040505566,164.76191406077,-16.7630040505566,3.08009644427895,0.833333333333333
ALGN,4,58.6,75.3609933371153,-23.9010725777957,133.25562167113,-25.5596509085777,3.15303813633562,0.5
ADI,7,49.08,18.6702616583719,-8.09183197156244,35.1372114091501,-19.2408213386522,2.30729725036133,0.571428571428571
ADP,7,-11.63,6.21089828853809,-18.3606774109899,9.03911977857128,-28.9989336352382,0.338271739626585,0.714285714285714
ADSK,7,27.09,23.6633359041257,-7.34667219700128,64.4547663995142,-21.2018113325058,3.22095981276863,0.428571428571429
ALXN,8,-58.04,8.00413919373046,-12.2958733561036,8.00413919373046,-26.7256046982282,0.650961421114284,0.125
AMAT,4,80.19,39.8243840965448,-18.844333309352,117.31239108196,-18.844333309352,2.11333473266369,0.75
AMGN,7,-23.06,7.32818036750398,-5.34079743804497,7.32818036750398,-9.66652146240559,1.37211351909772,0.142857142857143
AMZN,6,216.61,28.8368365108337,-3.21917945315073,68.0589238451119,-3.21917945315073,8.95782199485959,0.833333333333333
ATVI,7,66.7,30.2781578130014,-13.8145079930584,73.14244896913,-29.7445729601577,2.19176519556221,0.571428571428571
BIDU,9,-54.91,22.7316223751081,-15.4332557059064,32.5510955734496,-30.5670402050608,1.47289870706986,0.222222222222222
BIIB,9,-42.72,10.6602507300834,-9.82241610448169,15.1356295621889,-28.8577887988947,1.08529822160756,0.222222222222222
BMRN,9,-39.81,4.74507520727964,-7.67427383967285,8.21556959323539,-29.2314861331639,0.61830934188842,0.222222222222222
BKNG,7,30.06,12.6081864851705,-5.61336617685835,39.2764447803481,-11.6665825224623,2.24610084001806,0.571428571428571
AVGO,4,57.78,54.7433728354023,-18.4132297245485,69.6006818491814,-20.8412930668554,2.97304566631343,0.5
CDNS,4,85.12,46.1630204732426,-6.5173166150894,59.3415296618825,-8.2259873212394,7.08313301311192,0.5
