,unemployment
10/09/1993,338726
10/16/1993,288699
10/23/1993,321509
10/30/1993,309359
11/06/1993,365280
11/13/1993,310455
11/20/1993,377935
11/27/1993,306788
12/04/1993,431210
12/11/1993,398560
12/18/1993,382583
12/25/1993,398084
01/01/1994,481735
01/08/1994,676076
01/15/1994,571816
01/22/1994,427570
01/29/1994,481458
02/05/1994,429800
02/12/1994,385594
02/19/1994,368626
02/26/1994,307194
03/05/1994,355250
03/12/1994,331023
03/19/1994,308038
03/26/1994,292661
04/02/1994,289631
04/09/1994,361348
04/16/1994,327166
04/23/1994,298620
04/30/1994,285837
05/07/1994,332414
05/14/1994,303190
05/21/1994,299324
05/28/1994,291797
06/04/1994,273849
06/11/1994,309033
06/18/1994,298198
06/25/1994,305863
07/02/1994,327262
07/09/1994,394428
07/16/1994,443698
07/23/1994,354495
07/30/1994,295979
08/06/1994,304363
08/13/1994,277614
08/20/1994,262131
08/27/1994,257299
09/03/1994,270561
09/10/1994,237526
09/17/1994,264553
09/24/1994,251191
10/01/1994,255588
10/08/1994,322522
10/15/1994,272742
10/22/1994,296646
10/29/1994,291557
11/05/1994,338561
11/12/1994,298030
11/19/1994,366719
11/26/1994,295729
12/03/1994,412824
12/10/1994,397238
12/17/1994,376210
12/24/1994,423387
12/31/1994,482735
01/07/1995,612648
01/14/1995,608872
01/21/1995,400772
01/28/1995,396457
02/04/1995,381813
02/11/1995,387408
02/18/1995,356237
02/25/1995,316927
03/04/1995,342015
03/11/1995,339580
03/18/1995,319218
03/25/1995,305471
04/01/1995,294031
04/08/1995,356914
04/15/1995,318030
04/22/1995,317072
04/29/1995,305594
05/06/1995,325398
05/13/1995,311646
05/20/1995,316305
05/27/1995,314442
06/03/1995,286566
06/10/1995,340606
06/17/1995,337812
06/24/1995,324411
07/01/1995,341207
07/08/1995,428632
07/15/1995,491891
07/22/1995,409319
07/29/1995,311708
08/05/1995,310703
08/12/1995,296712
08/19/1995,286017
08/26/1995,272182
09/02/1995,278703
09/09/1995,266145
09/16/1995,304323
09/23/1995,272431
09/30/1995,269067
10/07/1995,345311
10/14/1995,306465
10/21/1995,322856
10/28/1995,332061
11/04/1995,383687
11/11/1995,335181
11/18/1995,425889
11/25/1995,336269
12/02/1995,474548
12/09/1995,421109
12/16/1995,423450
12/23/1995,490349
12/30/1995,513686
01/06/1996,596010
01/13/1996,637910
01/20/1996,510820
01/27/1996,492966
02/03/1996,433693
02/10/1996,440961
02/17/1996,395332
02/24/1996,347053
03/02/1996,368044
03/09/1996,355818
03/16/1996,357070
03/23/1996,396731
03/30/1996,342023
04/06/1996,353032
04/13/1996,343654
04/20/1996,336033
04/27/1996,291957
05/04/1996,298195
05/11/1996,303532
05/18/1996,287891
05/25/1996,287622
06/01/1996,266116
06/08/1996,329099
06/15/1996,307141
06/22/1996,312226
06/29/1996,315615
07/06/1996,382989
07/13/1996,449510
07/20/1996,360385
07/27/1996,294762
08/03/1996,283216
08/10/1996,285795
08/17/1996,265742
08/24/1996,259677
08/31/1996,251425
09/07/1996,238893
09/14/1996,272464
09/21/1996,273232
09/28/1996,261251
10/05/1996,292029
10/12/1996,306521
10/19/1996,271934
10/26/1996,311965
11/02/1996,320827
11/09/1996,340240
11/16/1996,330730
11/23/1996,383512
11/30/1996,328186
12/07/1996,444305
12/14/1996,404436
12/21/1996,429566
12/28/1996,520650
01/04/1997,541210
01/11/1997,654473
01/18/1997,513913
01/25/1997,385310
02/01/1997,380099
02/08/1997,370766
02/15/1997,320374
02/22/1997,309202
03/01/1997,317339
03/08/1997,314787
03/15/1997,296698
03/22/1997,291463
03/29/1997,268823
04/05/1997,311186
04/12/1997,329663
04/19/1997,286593
04/26/1997,295166
05/03/1997,295629
05/10/1997,278052
05/17/1997,267251
05/24/1997,264697
05/31/1997,248167
06/07/1997,309928
06/14/1997,302577
06/21/1997,290720
06/28/1997,298299
07/05/1997,372574
07/12/1997,434598
07/19/1997,339250
07/26/1997,281794
08/02/1997,273471
08/09/1997,289083
08/16/1997,272910
08/23/1997,255236
08/30/1997,250205
09/06/1997,224948
09/13/1997,253456
09/20/1997,246061
09/27/1997,237214
10/04/1997,260705
10/11/1997,286436
10/18/1997,255634
10/25/1997,272593
11/01/1997,293086
11/08/1997,322842
11/15/1997,311499
11/22/1997,341845
11/29/1997,309788
12/06/1997,402699
12/13/1997,374107
12/20/1997,368823
12/27/1997,445345
01/03/1998,479854
01/10/1998,682016
01/17/1998,512837
01/24/1998,355092
01/31/1998,357976
02/07/1998,368113
02/14/1998,328354
02/21/1998,313367
02/28/1998,313480
03/07/1998,305542
03/14/1998,298302
03/21/1998,293692
03/28/1998,272808
04/04/1998,288484
04/11/1998,294014
04/18/1998,288059
04/25/1998,278220
05/02/1998,261089
05/09/1998,270108
05/16/1998,262107
05/23/1998,259125
05/30/1998,248550
06/06/1998,289495
06/13/1998,293195
06/20/1998,322017
06/27/1998,348842
07/04/1998,379734
07/11/1998,428977
07/18/1998,364767
07/25/1998,314782
08/01/1998,277621
08/08/1998,279621
08/15/1998,246823
08/22/1998,237999
08/29/1998,233516
09/05/1998,255938
09/12/1998,217454
09/19/1998,237609
09/26/1998,220668
10/03/1998,246284
10/10/1998,300862
10/17/1998,257172
10/24/1998,275574
10/31/1998,281932
11/07/1998,332611
11/14/1998,315504
11/21/1998,338501
11/28/1998,295041
12/05/1998,421605
12/12/1998,355872
12/19/1998,344452
12/26/1998,442200
01/02/1999,508983
01/09/1999,713805
01/16/1999,514082
01/23/1999,364737
01/30/1999,349733
02/06/1999,344947
02/13/1999,320679
02/20/1999,286130
02/27/1999,297918
03/06/1999,297325
03/13/1999,289813
03/20/1999,275453
03/27/1999,260817
04/03/1999,263516
04/10/1999,327621
04/17/1999,286018
04/24/1999,263835
05/01/1999,252190
05/08/1999,274268
05/15/1999,251063
05/22/1999,250360
05/29/1999,260517
06/05/1999,256922
06/12/1999,267582
06/19/1999,267825
06/26/1999,269755
07/03/1999,303758
07/10/1999,364078
07/17/1999,369123
07/24/1999,293348
07/31/1999,254195
08/07/1999,259805
08/14/1999,236658
08/21/1999,226061
08/28/1999,219278
09/04/1999,235849
09/11/1999,204302
09/18/1999,219070
09/25/1999,232486
10/02/1999,246445
10/09/1999,278925
10/16/1999,234580
10/23/1999,250864
10/30/1999,257767
11/06/1999,297136
11/13/1999,262607
11/20/1999,309248
11/27/1999,268255
12/04/1999,378735
12/11/1999,318175
12/18/1999,329649
12/25/1999,377695
01/01/2000,439912
01/08/2000,606897
01/15/2000,442494
01/22/2000,328841
01/29/2000,332740
02/05/2000,365245
02/12/2000,311897
02/19/2000,281256
02/26/2000,258962
03/04/2000,283024
03/11/2000,255109
03/18/2000,242139
03/25/2000,239835
04/01/2000,229520
04/08/2000,274130
04/15/2000,237218
04/22/2000,240266
04/29/2000,249458
05/06/2000,259546
05/13/2000,231706
05/20/2000,234599
05/27/2000,239836
06/03/2000,242991
06/10/2000,267752
06/17/2000,265617
06/24/2000,273344
07/01/2000,280979
07/08/2000,363793
07/15/2000,377982
07/22/2000,296255
07/29/2000,253466
08/05/2000,266151
08/12/2000,261358
08/19/2000,251844
08/26/2000,239030
09/02/2000,242375
09/09/2000,229954
09/16/2000,245991
09/23/2000,222219
09/30/2000,227249
10/07/2000,292784
10/14/2000,255082
10/21/2000,263445
10/28/2000,269489
11/04/2000,342414
11/11/2000,294727
11/18/2000,374160
11/25/2000,321859
12/02/2000,447262
12/09/2000,390088
12/16/2000,402476
12/23/2000,481720
12/30/2000,568973
01/06/2001,558768
01/13/2001,599562
01/20/2001,398188
01/27/2001,447386
02/03/2001,424696
02/10/2001,396151
02/17/2001,345841
02/24/2001,357591
03/03/2001,379286
03/10/2001,377210
03/17/2001,351497
03/24/2001,334747
03/31/2001,328576
04/07/2001,397282
04/14/2001,346981
04/21/2001,369745
04/28/2001,353831
05/05/2001,336319
05/12/2001,331765
05/19/2001,338374
05/26/2001,346231
06/02/2001,335765
06/09/2001,397015
06/16/2001,354526
06/23/2001,351770
06/30/2001,375885
07/07/2001,526826
07/14/2001,524139
07/21/2001,406038
07/28/2001,332957
08/04/2001,341660
08/11/2001,333042
08/18/2001,317046
08/25/2001,307850
09/01/2001,319016
09/08/2001,309567
09/15/2001,317245
09/22/2001,353611
09/29/2001,400400
10/06/2001,441754
10/13/2001,426881
10/20/2001,429542
10/27/2001,436901
11/03/2001,443971
11/10/2001,456366
11/17/2001,420259
11/24/2001,438893
12/01/2001,605916
12/08/2001,491836
12/15/2001,440906
12/22/2001,529570
12/29/2001,647045
01/05/2002,637343
01/12/2002,799246
01/19/2002,558297
01/26/2002,431690
02/02/2002,445552
02/09/2002,438611
02/16/2002,376573
02/23/2002,367504
03/02/2002,385272
03/09/2002,386992
03/16/2002,352045
03/23/2002,366372
03/30/2002,386296
04/06/2002,432384
04/13/2002,428834
04/20/2002,385151
04/27/2002,367350
05/04/2002,362681
05/11/2002,358286
05/18/2002,348887
05/25/2002,346439
06/01/2002,309183
06/08/2002,378613
06/15/2002,356096
06/22/2002,358959
06/29/2002,358658
07/06/2002,456716
07/13/2002,506718
07/20/2002,394586
07/27/2002,338441
08/03/2002,326356
08/10/2002,332673
08/17/2002,313869
08/24/2002,314852
08/31/2002,310864
09/07/2002,318361
09/14/2002,337577
09/21/2002,317264
09/28/2002,319063
10/05/2002,365613
10/12/2002,385689
10/19/2002,349927
10/26/2002,375591
11/02/2002,397346
11/09/2002,427078
11/16/2002,372829
11/23/2002,436549
11/30/2002,385788
12/07/2002,547430
12/14/2002,486258
12/21/2002,483449
12/28/2002,620929
01/04/2003,620004
01/11/2003,724111
01/18/2003,542563
01/25/2003,434888
02/01/2003,449286
02/08/2003,439520
02/15/2003,398291
02/22/2003,387536
03/01/2003,429782
03/08/2003,414568
03/15/2003,389909
03/22/2003,361492
03/29/2003,371692
04/05/2003,394160
04/12/2003,434911
04/19/2003,399180
04/26/2003,401342
05/03/2003,377383
05/10/2003,364287
05/17/2003,362276
05/24/2003,359500
05/31/2003,351890
06/07/2003,421190
06/14/2003,383371
06/21/2003,376560
06/28/2003,394214
07/05/2003,483401
07/12/2003,552621
07/19/2003,429381
07/26/2003,348382
08/02/2003,333770
08/09/2003,348207
08/16/2003,312087
08/23/2003,313058
08/30/2003,319362
09/06/2003,322501
09/13/2003,328414
09/20/2003,301217
09/27/2003,304968
10/04/2003,337880
10/11/2003,368876
10/18/2003,328572
10/25/2003,352117
11/01/2003,345573
11/08/2003,397387
11/15/2003,347719
11/22/2003,397990
11/29/2003,357811
12/06/2003,486202
12/13/2003,412627
12/20/2003,424192
12/27/2003,516493
01/03/2004,552815
01/10/2004,677897
01/17/2004,490763
01/24/2004,382262
01/31/2004,406298
02/07/2004,433234
02/14/2004,341634
02/21/2004,328171
02/28/2004,342140
03/06/2004,339007
03/13/2004,312067
03/20/2004,304462
03/27/2004,296776
04/03/2004,304249
04/10/2004,350739
04/17/2004,334965
04/24/2004,313686
05/01/2004,283236
05/08/2004,292754
05/15/2004,297061
05/22/2004,293974
05/29/2004,304067
06/05/2004,308229
06/12/2004,313930
06/19/2004,322481
06/26/2004,318746
07/03/2004,349920
07/10/2004,444531
07/17/2004,394372
07/24/2004,313225
07/31/2004,282128
08/07/2004,291611
08/14/2004,262936
08/21/2004,274433
08/28/2004,276308
09/04/2004,274930
09/11/2004,250568
09/18/2004,275846
09/25/2004,282729
10/02/2004,279591
10/09/2004,338711
10/16/2004,279846
10/23/2004,317573
10/30/2004,305546
11/06/2004,351404
11/13/2004,311901
11/20/2004,355954
11/27/2004,320690
12/04/2004,473570
12/11/2004,370604
12/18/2004,374749
12/25/2004,446699
01/01/2005,540927
01/08/2005,693776
01/15/2005,467862
01/22/2005,360583
01/29/2005,364704
02/05/2005,347391
02/12/2005,309290
02/19/2005,303814
02/26/2005,290776
03/05/2005,332067
03/12/2005,307061
03/19/2005,290719
03/26/2005,291378
04/02/2005,294994
04/09/2005,339709
04/16/2005,285657
04/23/2005,299891
04/30/2005,290824
05/07/2005,297347
05/14/2005,275524
05/21/2005,276761
05/28/2005,304306
06/04/2005,289914
06/11/2005,315938
06/18/2005,289831
06/25/2005,286681
07/02/2005,327268
07/09/2005,427323
07/16/2005,374665
07/23/2005,295026
07/30/2005,261906
08/06/2005,269746
08/13/2005,257151
08/20/2005,252016
08/27/2005,251642
09/03/2005,271613
09/10/2005,322387
09/17/2005,346204
09/24/2005,292435
10/01/2005,313847
10/08/2005,380093
10/15/2005,303158
10/22/2005,304733
10/29/2005,294376
11/05/2005,340491
11/12/2005,283564
11/19/2005,368859
11/26/2005,290730
12/03/2005,444600
12/10/2005,391961
12/17/2005,359108
12/24/2005,433397
12/31/2005,475889
01/07/2006,555114
01/14/2006,439873
01/21/2006,317926
01/28/2006,318805
02/04/2006,321527
02/11/2006,310078
02/18/2006,269571
02/25/2006,272478
03/04/2006,301867
03/11/2006,294764
03/18/2006,269237
03/25/2006,265370
04/01/2006,253985
04/08/2006,314696
04/15/2006,268472
04/22/2006,291349
04/29/2006,279715
05/06/2006,317239
05/13/2006,288972
05/20/2006,277168
05/27/2006,292714
06/03/2006,260263
06/10/2006,285892
06/17/2006,277441
06/24/2006,287503
07/01/2006,304638
07/08/2006,418363
07/15/2006,377115
07/22/2006,288875
07/29/2006,259974
08/05/2006,275430
08/12/2006,256259
08/19/2006,252357
08/26/2006,251275
09/02/2006,259539
09/09/2006,240231
09/16/2006,267036
09/23/2006,261396
09/30/2006,249288
10/07/2006,307646
10/14/2006,271863
10/21/2006,291372
10/28/2006,301079
11/04/2006,326711
11/11/2006,286151
11/18/2006,367690
11/25/2006,323509
12/02/2006,448898
12/09/2006,384123
12/16/2006,361672
12/23/2006,425357
12/30/2006,499979
01/06/2007,506059
01/13/2007,506709
01/20/2007,367583
01/27/2007,359959
02/03/2007,339018
02/10/2007,363018
02/17/2007,305945
02/24/2007,299000
03/03/2007,320194
03/10/2007,298927
03/17/2007,277187
03/24/2007,273432
03/31/2007,268218
04/07/2007,328266
04/14/2007,317917
04/21/2007,303984
04/28/2007,267672
05/05/2007,274801
05/12/2007,258516
05/19/2007,270446
05/26/2007,273397
06/02/2007,263527
06/09/2007,302368
06/16/2007,290951
06/23/2007,292583
06/30/2007,300348
07/07/2007,417554
07/14/2007,383839
07/21/2007,298366
07/28/2007,257426
08/04/2007,270563
08/11/2007,266420
08/18/2007,257573
08/25/2007,266179
09/01/2007,257454
09/08/2007,245526
09/15/2007,261971
09/22/2007,247643
09/29/2007,255431
10/06/2007,298317
10/13/2007,306519
10/20/2007,307675
10/27/2007,303357
11/03/2007,325831
11/10/2007,351760
11/17/2007,323124
11/24/2007,324047
12/01/2007,462902
12/08/2007,423130
12/15/2007,393042
12/22/2007,456280
12/29/2007,507908
01/05/2008,522700
01/12/2008,547943
01/19/2008,415397
01/26/2008,369498
02/02/2008,380234
02/09/2008,377595
02/16/2008,325886
02/23/2008,330013
03/01/2008,345287
03/08/2008,341364
03/15/2008,335909
03/22/2008,316208
03/29/2008,342189
04/05/2008,357209
04/12/2008,370960
04/19/2008,328334
04/26/2008,337854
05/03/2008,335533
05/10/2008,325479
05/17/2008,319817
05/24/2008,326627
05/31/2008,300989
06/07/2008,373033
06/14/2008,349254
06/21/2008,358158
06/28/2008,368544
07/05/2008,401672
07/12/2008,476071
07/19/2008,403607
07/26/2008,374182
08/02/2008,381887
08/09/2008,372807
08/16/2008,342164
08/23/2008,344255
08/30/2008,360485
09/06/2008,336131
09/13/2008,381720
09/20/2008,397610
09/27/2008,392121
10/04/2008,426786
10/11/2008,454100
10/18/2008,416114
10/25/2008,449429
11/01/2008,466373
11/08/2008,539812
11/15/2008,513047
11/22/2008,609128
11/29/2008,537230
12/06/2008,760481
12/13/2008,629867
12/20/2008,719691
12/27/2008,717000
01/03/2009,731958
01/10/2009,956791
01/17/2009,763987
01/24/2009,620143
01/31/2009,682176
02/07/2009,710152
02/14/2009,619951
02/21/2009,605668
02/28/2009,645827
03/07/2009,652635
03/14/2009,601192
03/21/2009,590067
03/28/2009,599299
04/04/2009,623279
04/11/2009,610522
04/18/2009,596564
04/25/2009,583457
05/02/2009,536648
05/09/2009,570412
05/16/2009,540925
05/23/2009,538311
05/30/2009,500380
06/06/2009,581092
06/13/2009,562449
06/20/2009,572425
06/27/2009,563387
07/04/2009,585963
07/11/2009,677038
07/18/2009,590730
07/25/2009,516351
08/01/2009,470988
08/08/2009,486586
08/15/2009,461780
08/22/2009,460998
08/29/2009,460525
09/05/2009,470079
09/12/2009,414557
09/19/2009,441311
09/26/2009,449620
10/03/2009,456233
10/10/2009,513852
10/17/2009,464985
10/24/2009,499374
10/31/2009,487714
11/07/2009,537230
11/14/2009,479350
11/21/2009,547022
11/28/2009,462090
12/05/2009,673097
12/12/2009,561655
12/19/2009,571378
12/26/2009,561852
01/02/2010,651215
01/09/2010,825891
01/16/2010,659173
01/23/2010,507651
01/30/2010,538617
02/06/2010,512463
02/13/2010,482078
02/20/2010,458160
02/27/2010,474662
03/06/2010,462679
03/13/2010,439061
03/20/2010,413067
03/27/2010,412710
04/03/2010,421130
04/10/2010,514136
04/17/2010,436814
04/24/2010,429196
05/01/2010,399350
05/08/2010,414327
05/15/2010,414572
05/22/2010,410778
05/29/2010,418873
06/05/2010,398864
06/12/2010,448305
06/19/2010,427080
06/26/2010,444712
07/03/2010,470366
07/10/2010,515991
07/17/2010,502065
07/24/2010,413679
07/31/2010,402140
08/07/2010,425471
08/14/2010,405484
08/21/2010,384955
08/28/2010,383135
09/04/2010,381863
09/11/2010,341791
09/18/2010,382341
09/25/2010,372551
10/02/2010,373681
10/09/2010,462667
10/16/2010,394016
10/23/2010,408489
10/30/2010,421097
11/06/2010,452657
11/13/2010,409548
11/20/2010,464817
11/27/2010,412922
12/04/2010,585711
12/11/2010,491776
12/18/2010,495548
12/25/2010,525710
01/01/2011,578904
01/08/2011,773499
01/15/2011,549688
01/22/2011,485950
01/29/2011,464775
02/05/2011,440706
02/12/2011,424400
02/19/2011,380985
02/26/2011,353797
03/05/2011,407299
03/12/2011,371721
03/19/2011,354457
03/26/2011,357457
04/02/2011,353817
04/09/2011,448029
04/16/2011,381834
04/23/2011,387867
04/30/2011,415974
05/07/2011,397737
05/14/2011,361573
05/21/2011,376632
05/28/2011,381497
06/04/2011,366816
06/11/2011,400608
06/18/2011,394286
06/25/2011,406633
07/02/2011,425640
07/09/2011,473963
07/16/2011,470086
07/23/2011,369207
07/30/2011,341103
08/06/2011,354408
08/13/2011,346014
08/20/2011,344870
08/27/2011,336761
09/03/2011,348582
09/10/2011,328868
09/17/2011,353820
09/24/2011,328073
10/01/2011,332394
10/08/2011,405906
10/15/2011,357562
10/22/2011,377156
10/29/2011,369647
11/05/2011,402532
11/12/2011,363016
11/19/2011,440157
11/26/2011,372640
12/03/2011,528793
12/10/2011,435863
12/17/2011,421103
12/24/2011,497689
12/31/2011,540057
01/07/2012,646219
01/14/2012,525422
01/21/2012,416880
01/28/2012,422287
02/04/2012,401365
02/11/2012,365014
02/18/2012,346659
02/25/2012,334242
03/03/2012,368433
03/10/2012,340102
03/17/2012,319498
03/24/2012,323373
03/31/2012,315800
04/07/2012,390064
04/14/2012,370482
04/21/2012,370632
04/28/2012,333476
05/05/2012,341080
05/12/2012,325094
05/19/2012,330427
05/26/2012,346260
06/02/2012,324385
06/09/2012,376610
06/16/2012,364548
06/23/2012,370521
06/30/2012,369826
07/07/2012,442192
07/14/2012,455260
07/21/2012,340780
07/28/2012,312931
08/04/2012,320219
08/11/2012,317680
08/18/2012,311857
08/25/2012,312542
09/01/2012,309537
09/08/2012,299729
09/15/2012,330454
09/22/2012,303685
09/29/2012,301046
10/06/2012,329925
10/13/2012,362730
10/20/2012,345227
10/27/2012,339924
11/03/2012,361823
11/10/2012,478551
11/17/2012,403636
11/24/2012,358865
12/01/2012,500163
12/08/2012,429191
12/15/2012,401431
12/22/2012,457584
12/29/2012,490126
01/05/2013,557424
01/12/2013,558047
01/19/2013,437360
01/26/2013,369567
02/02/2013,388708
02/09/2013,361759
02/16/2013,351087
02/23/2013,310512
03/02/2013,335794
03/09/2013,317661
03/16/2013,301471
03/23/2013,316133
03/30/2013,317494
04/06/2013,356935
04/13/2013,359415
04/20/2013,326264
04/27/2013,301622
05/04/2013,301602
05/11/2013,320253
05/18/2013,303357
05/25/2013,319508
06/01/2013,294608
06/08/2013,332964
06/15/2013,336970
06/22/2013,336901
06/29/2013,335424
07/06/2013,383811
07/13/2013,410974
07/20/2013,340457
07/27/2013,281692
08/03/2013,288861
08/10/2013,282756
08/17/2013,281164
08/24/2013,279803
08/31/2013,269359
09/07/2013,229648
09/14/2013,272946
09/21/2013,255087
09/28/2013,252196
10/05/2013,335937
10/12/2013,360957
10/19/2013,312037
10/26/2013,325326
11/02/2013,331867
11/09/2013,364167
11/16/2013,327053
11/23/2013,369197
11/30/2013,321896
12/07/2013,463413
12/14/2013,414613
12/21/2013,418272
12/28/2013,452664
01/04/2014,488537
01/11/2014,534966
01/18/2014,416116
01/25/2014,357806
02/01/2014,357742
02/08/2014,360338
02/15/2014,322761
02/22/2014,312665
03/01/2014,317832
03/08/2014,302311
03/15/2014,285970
03/22/2014,274072
03/29/2014,294862
04/05/2014,299162
04/12/2014,318793
04/19/2014,299182
04/26/2014,318127
05/03/2014,288748
05/10/2014,270738
05/17/2014,287398
05/24/2014,275412
05/31/2014,264133
06/07/2014,313371
06/14/2014,301195
06/21/2014,305029
06/28/2014,305791
07/05/2014,322753
07/12/2014,370559
07/19/2014,287049
07/26/2014,257625
08/02/2014,247877
08/09/2014,269468
08/16/2014,249463
08/23/2014,249006
08/30/2014,249780
09/06/2014,234755
09/13/2014,242318
09/20/2014,239780
09/27/2014,227571
10/04/2014,257545
10/11/2014,273756
10/18/2014,256166
10/25/2014,271331
11/01/2014,266921
11/08/2014,309338
11/15/2014,286115
11/22/2014,357202
11/29/2014,294389
12/06/2014,389284
12/13/2014,327827
12/20/2014,340827
12/27/2014,389757
01/03/2015,439342
01/10/2015,529685
01/17/2015,383538
01/24/2015,281885
01/31/2015,306643
02/07/2015,324158
02/14/2015,277904
02/21/2015,280639
02/28/2015,315566
03/07/2015,277925
03/14/2015,260242
03/21/2015,248032
03/28/2015,239748
04/04/2015,253533
04/11/2015,308173
04/18/2015,279797
04/25/2015,250780
05/02/2015,236421
05/09/2015,242882
05/16/2015,243612
05/23/2015,253454
05/30/2015,230676
06/06/2015,275619
06/13/2015,258764
06/20/2015,263199
06/27/2015,274646
07/04/2015,303585
07/11/2015,344471
07/18/2015,262949
07/25/2015,230314
08/01/2015,224104
08/08/2015,239326
08/15/2015,229251
08/22/2015,226649
08/29/2015,230079
09/05/2015,232507
09/12/2015,198903
09/19/2015,219342
09/26/2015,215116
10/03/2015,227176
10/10/2015,256522
10/17/2015,232860
10/24/2015,245365
10/31/2015,258440
11/07/2015,291098
11/14/2015,264816
11/21/2015,305424
11/28/2015,262628
12/05/2015,384491
12/12/2015,313276
12/19/2015,319641
12/26/2015,346542
01/02/2016,405368
01/09/2016,502904
01/16/2016,378747
01/23/2016,295936
01/30/2016,311940
02/06/2016,290796
02/13/2016,258380
02/20/2016,248870
02/27/2016,265802
03/05/2016,247628
03/12/2016,236888
03/19/2016,230882
03/26/2016,235716
04/02/2016,245035
04/09/2016,270419
04/16/2016,242400
04/23/2016,245040
04/30/2016,243392
05/07/2016,261899
05/14/2016,244869
05/21/2016,240798
05/28/2016,246740
06/04/2016,232300
06/11/2016,266277
06/18/2016,247968
06/25/2016,263662
07/02/2016,267437
07/09/2016,298673
07/16/2016,268526
07/23/2016,231925
07/30/2016,219202
08/06/2016,231542
08/13/2016,219570
08/20/2016,217011
08/27/2016,215688
09/03/2016,217715
09/10/2016,193291
09/17/2016,205649
09/24/2016,198455
10/01/2016,200456
10/08/2016,238581
10/15/2016,233633
10/22/2016,237314
10/29/2016,245751
11/05/2016,258608
11/12/2016,223770
11/19/2016,287794
11/26/2016,249774
12/03/2016,351580
12/10/2016,305268
12/17/2016,315068
12/24/2016,343213
12/31/2016,350561
01/07/2017,414742
01/14/2017,352799
01/21/2017,284030
01/28/2017,280983
02/04/2017,259713
02/11/2017,245886
02/18/2017,239322
02/25/2017,212829
03/04/2017,243959
03/11/2017,222227
03/18/2017,224693
03/25/2017,228269
04/01/2017,208347
04/08/2017,239823
04/15/2017,225864
04/22/2017,241611
04/29/2017,210955
05/06/2017,215040
05/13/2017,206905
05/20/2017,210544
05/27/2017,232138
06/03/2017,212696
06/10/2017,234652
06/17/2017,228883
06/24/2017,239635
07/01/2017,252886
07/08/2017,284329
07/15/2017,257763
07/22/2017,220455
07/29/2017,198776
08/05/2017,211924
08/12/2017,198280
08/19/2017,195130
08/26/2017,196227
09/02/2017,250627
09/09/2017,211923
09/16/2017,212313
09/23/2017,212987
09/30/2017,204180
10/07/2017,229241
10/14/2017,205592
10/21/2017,216004
10/28/2017,215977
11/04/2017,242111
11/11/2017,236654
11/18/2017,275004
11/25/2017,224851
12/02/2017,326052
12/09/2017,282055
12/16/2017,287479
12/23/2017,325180
12/30/2017,351500
01/06/2018,403930
01/13/2018,354708
01/20/2018,260432
01/27/2018,268197
02/03/2018,243422
02/10/2018,233252
02/17/2018,212609
02/24/2018,196294
03/03/2018,225893
03/10/2018,205185
03/17/2018,198649
03/24/2018,195433
03/31/2018,201057
04/07/2018,231759
04/14/2018,226090
04/21/2018,200139
04/28/2018,186451
05/05/2018,190262
05/12/2018,195214
05/19/2018,207043
05/26/2018,202846
06/02/2018,191523
06/09/2018,217289
06/16/2018,206023
06/23/2018,222766
06/30/2018,231539
07/07/2018,264869
07/14/2018,232238
07/21/2018,201288
07/28/2018,179880
08/04/2018,185174
08/11/2018,180038
08/18/2018,173331
08/25/2018,175745
09/01/2018,173607
09/08/2018,162640
09/15/2018,173624
09/22/2018,172930
09/29/2018,171816
10/06/2018,193936
10/13/2018,190501
10/20/2018,198733
10/27/2018,198530
11/03/2018,214814
11/10/2018,235981
11/17/2018,226576
11/24/2018,218658
12/01/2018,317936
12/08/2018,261525
12/15/2018,255195
12/22/2018,291581
12/29/2018,327388
01/05/2019,350681
01/12/2019,343678
01/19/2019,269369
01/26/2019,250580
02/02/2019,254263
02/09/2019,242762
02/16/2019,210679
02/23/2019,203049
03/02/2019,220540
03/09/2019,209302
03/16/2019,194335
03/23/2019,190023
03/30/2019,183775
04/06/2019,196071
04/13/2019,196364
04/20/2019,211762
04/27/2019,204755
05/04/2019,204033
05/11/2019,188264
05/18/2019,191931
05/25/2019,198194
06/01/2019,189577
06/08/2019,220186
06/15/2019,205921
06/22/2019,225819
06/29/2019,224565
07/06/2019,231995
07/13/2019,243621
07/20/2019,196382
07/27/2019,178897
08/03/2019,179879
08/10/2019,186914
08/17/2019,171386
08/24/2019,176867
08/31/2019,179516
09/07/2019,160342
09/14/2019,173134
09/21/2019,175394
09/28/2019,172968
10/05/2019,188106
10/12/2019,201677
10/19/2019,186748
10/26/2019,198733
11/02/2019,205625
11/09/2019,238996
11/16/2019,227892
11/23/2019,252428
11/30/2019,216827
12/07/2019,317866
12/14/2019,270547
12/21/2019,287243
12/28/2019,312524
01/04/2020,335480
01/11/2020,338550
01/18/2020,282088
01/25/2020,229002
02/01/2020,224664
02/08/2020,219601
02/15/2020,209336
02/22/2020,199278
02/29/2020,216982
03/07/2020,200382
03/14/2020,251416
03/21/2020,2920162
03/28/2020,6015821
04/04/2020,6211406
04/11/2020,4965046
04/18/2020,4281648
04/25/2020,3515439
05/02/2020,2855561
05/09/2020,2356626
05/16/2020,2181640
05/23/2020,1915138
05/30/2020,1620008
06/06/2020,1561267
06/13/2020,1463363
06/20/2020,1460056
06/27/2020,1426618
07/04/2020,1395081
07/11/2020,1512816
