,unemployment
02/17/1973,242000
02/24/1973,220000
03/03/1973,233000
03/10/1973,227000
03/17/1973,212000
03/24/1973,209000
03/31/1973,193000
04/07/1973,244000
04/14/1973,212000
04/21/1973,211000
04/28/1973,194000
05/05/1973,214000
05/12/1973,198000
05/19/1973,189000
05/26/1973,190000
06/02/1973,173000
06/09/1973,210000
06/16/1973,198000
06/23/1973,206000
06/30/1973,215000
07/07/1973,309000
07/14/1973,270000
07/21/1973,259000
07/28/1973,265000
08/04/1973,262000
08/11/1973,238000
08/18/1973,207000
08/25/1973,190000
09/01/1973,180000
09/08/1973,177000
09/15/1973,186000
09/22/1973,187000
09/29/1973,191000
10/06/1973,210000
10/13/1973,207000
10/20/1973,208000
10/27/1973,200000
11/03/1973,230000
11/10/1973,277000
11/17/1973,261000
11/24/1973,237000
12/01/1973,299000
12/08/1973,345000
12/15/1973,340000
12/22/1973,429000
12/29/1973,461000
01/05/1974,405000
01/12/1974,584000
01/19/1974,465000
01/26/1974,373000
02/02/1974,381000
02/09/1974,459000
02/16/1974,352000
02/23/1974,296000
03/02/1974,313000
03/09/1974,310000
03/16/1974,293000
03/23/1974,285000
03/30/1974,279000
04/06/1974,288000
04/13/1974,278000
04/20/1974,256000
04/27/1974,235000
05/04/1974,243000
05/11/1974,249000
05/18/1974,238000
05/25/1974,246000
06/01/1974,209000
06/08/1974,267000
06/15/1974,255000
06/22/1974,266000
06/29/1974,285000
07/06/1974,350000
07/13/1974,351000
07/20/1974,325000
07/27/1974,333000
08/03/1974,340000
08/10/1974,318000
08/17/1974,269000
08/24/1974,260000
08/31/1974,259000
09/07/1974,253000
09/14/1974,271000
09/21/1974,283000
09/28/1974,279000
10/05/1974,325000
10/12/1974,358000
10/19/1974,324000
10/26/1974,357000
11/02/1974,375000
11/09/1974,435000
11/16/1974,450000
11/23/1974,532000
11/30/1974,524000
12/07/1974,693000
12/14/1974,637000
12/21/1974,677000
12/28/1974,813000
01/04/1975,681000
01/11/1975,969000
01/18/1975,850000
01/25/1975,729000
02/01/1975,699000
02/08/1975,691000
02/15/1975,608000
02/22/1975,567000
03/01/1975,568000
03/08/1975,569000
03/15/1975,494000
03/22/1975,499000
03/29/1975,477000
04/05/1975,505000
04/12/1975,496000
04/19/1975,456000
04/26/1975,429000
05/03/1975,420000
05/10/1975,432000
05/17/1975,410000
05/24/1975,391000
05/31/1975,360000
06/07/1975,443000
06/14/1975,422000
06/21/1975,428000
06/28/1975,407000
07/05/1975,460000
07/12/1975,517000
07/19/1975,481000
07/26/1975,471000
08/02/1975,462000
08/09/1975,429000
08/16/1975,367000
08/23/1975,353000
08/30/1975,332000
09/06/1975,331000
